"Season","Date","Wk","Game Title","Visit Team","Visit Points","Home Team","Home Points","Visit Conf","Visit SubDiv","Home Conf","Home SubDiv"
2007,"2007-11-24",13,"Tennessee at Kentucky","Tennessee",52,"Kentucky",50,"SEC","FBS","SEC","FBS"
2007,"2007-11-24",13,"Alabama at Auburn","Alabama",10,"Auburn",17,"SEC","FBS","SEC","FBS"
2007,"2007-11-24",13,"UAB at Marshall","UAB",39,"Marshall",46,"C-USA","FBS","C-USA","FBS"
2007,"2007-11-24",13,"SMU at Memphis","SMU",52,"Memphis",55,"C-USA","FBS","C-USA","FBS"
2007,"2007-11-24",13,"Duke at North Carolina","Duke",14,"North Carolina",20,"ACC","FBS","ACC","FBS"
2007,"2007-11-24",13,"UNLV at New Mexico","UNLV",6,"New Mexico",27,"MW","FBS","MW","FBS"
2007,"2007-11-24",13,"Maryland at North Carolina State","Maryland",37,"North Carolina State",0,"ACC","FBS","ACC","FBS"
2007,"2007-11-24",13,"Western Kentucky at North Texas","Western Kentucky",26,"North Texas",27,"FCS","FCS","Sun Belt","FBS"
2007,"2007-11-24",13,"Ball State at Northern Illinois","Ball State",27,"Northern Illinois",21,"MAC","FBS","MAC","FBS"
2007,"2007-11-24",13,"Miami (Ohio) at Ohio","Miami (Ohio)",29,"Ohio",38,"MAC","FBS","MAC","FBS"
2007,"2007-11-24",13,"Oklahoma State at Oklahoma","Oklahoma State",17,"Oklahoma",49,"Big 12","FBS","Big 12","FBS"
2007,"2007-11-24",13,"South Florida at Pittsburgh","South Florida",48,"Pittsburgh",37,"Big East","FBS","Big East","FBS"
2007,"2007-11-24",13,"Tulsa at Rice","Tulsa",48,"Rice",43,"C-USA","FBS","C-USA","FBS"
2007,"2007-11-24",13,"TCU at San Diego State","TCU",45,"San Diego State",33,"MW","FBS","MW","FBS"
2007,"2007-11-24",13,"Nevada at San Jose State","Nevada",24,"San Jose State",27,"WAC","FBS","WAC","FBS"
2007,"2007-11-24",13,"Clemson at South Carolina","Clemson",23,"South Carolina",21,"ACC","FBS","SEC","FBS"
2007,"2007-11-24",13,"Arkansas State at Southern Mississippi","Arkansas State",10,"Southern Mississippi",16,"Sun Belt","FBS","C-USA","FBS"
2007,"2007-11-24",13,"Miami (Florida) at Boston College","Miami (Florida)",14,"Boston College",28,"ACC","FBS","ACC","FBS"
2007,"2007-11-24",13,"Louisiana-Monroe at Louisiana-Lafayette","Louisiana-Monroe",17,"Louisiana-Lafayette",11,"Sun Belt","FBS","Sun Belt","FBS"
2007,"2007-11-24",13,"Notre Dame at Stanford","Notre Dame",21,"Stanford",14,"IND","FBS","Pac 10/12","FBS"
2007,"2007-11-24",13,"Cincinnati at Syracuse","Cincinnati",52,"Syracuse",31,"Big East","FBS","Big East","FBS"
2007,"2007-11-24",13,"Wake Forest at Vanderbilt","Wake Forest",31,"Vanderbilt",17,"ACC","FBS","SEC","FBS"
2007,"2007-11-24",13,"Virginia Tech at Virginia","Virginia Tech",33,"Virginia",21,"ACC","FBS","ACC","FBS"
2007,"2007-11-24",13,"Washington State at Washington","Washington State",42,"Washington",35,"Pac 10/12","FBS","Pac 10/12","FBS"
2007,"2007-11-24",13,"Connecticut at West Virginia","Connecticut",21,"West Virginia",66,"Big East","FBS","Big East","FBS"
2007,"2007-11-24",13,"Utah at BYU","Utah",10,"BYU",17,"MW","FBS","MW","FBS"
2007,"2007-11-24",13,"Temple at Western Michigan","Temple",3,"Western Michigan",16,"MAC","FBS","MAC","FBS"
2007,"2007-11-24",13,"Kansas State at Fresno State","Kansas State",29,"Fresno State",45,"Big 12","FBS","WAC","FBS"
2007,"2007-11-29",14,"Rutgers at Louisville","Rutgers",38,"Louisville",41,"Big East","FBS","Big East","FBS"
2007,"2007-11-30",14,"Fresno State at New Mexico State","Fresno State",30,"New Mexico State",23,"WAC","FBS","WAC","FBS"
2007,"2007-12-01",14,"Tulsa at UCF","Tulsa",25,"UCF",44,"C-USA","FBS","C-USA","FBS"
2007,"2007-12-01",14,"Miami (Ohio) at Central Michigan","Miami (Ohio)",10,"Central Michigan",35,"MAC","FBS","MAC","FBS"
2007,"2007-12-01",14,"North Texas at Florida International","North Texas",19,"Florida International",38,"Sun Belt","FBS","Sun Belt","FBS"
2007,"2007-12-01",14,"Washington at Hawai'i","Washington",28,"Hawai'i",35,"Pac 10/12","FBS","WAC","FBS"
2007,"2007-12-01",14,"Arizona at Arizona State","Arizona",17,"Arizona State",20,"Pac 10/12","FBS","Pac 10/12","FBS"
2007,"2007-12-01",14,"Tennessee at LSU","Tennessee",14,"LSU",21,"SEC","FBS","SEC","FBS"
2007,"2007-12-01",14,"Oklahoma at Missouri","Oklahoma",38,"Missouri",17,"Big 12","FBS","Big 12","FBS"
2007,"2007-12-01",14,"Louisiana Tech at Nevada","Louisiana Tech",10,"Nevada",49,"WAC","FBS","WAC","FBS"
2007,"2007-12-01",14,"Oregon State at Oregon","Oregon State",38,"Oregon",31,"Pac 10/12","FBS","Pac 10/12","FBS"
2007,"2007-12-01",14,"BYU at San Diego State","BYU",48,"San Diego State",27,"MW","FBS","MW","FBS"
2007,"2007-12-01",14,"UCLA at USC","UCLA",7,"USC",24,"Pac 10/12","FBS","Pac 10/12","FBS"
2007,"2007-12-01",14,"Virginia Tech at Boston College","Virginia Tech",30,"Boston College",16,"ACC","FBS","ACC","FBS"
2007,"2007-12-01",14,"California at Stanford","California",13,"Stanford",20,"Pac 10/12","FBS","Pac 10/12","FBS"
2007,"2007-12-01",14,"Florida Atlantic at Troy","Florida Atlantic",38,"Troy",32,"Sun Belt","FBS","Sun Belt","FBS"
2007,"2007-12-01",14,"Army at Navy","Army",3,"Navy",38,"IND","FBS","IND","FBS"
2007,"2007-12-01",14,"Pittsburgh at West Virginia","Pittsburgh",13,"West Virginia",9,"Big East","FBS","Big East","FBS"
2007,"2007-12-20",15,"Utah at Navy","Utah",35,"Navy",32,"MW","FBS","IND","FBS"
2007,"2007-12-21",15,"Memphis at Florida Atlantic","Memphis",27,"Florida Atlantic",44,"C-USA","FBS","Sun Belt","FBS"
2007,"2007-12-22",15,"Southern Mississippi at Cincinnati","Southern Mississippi",21,"Cincinnati",31,"C-USA","FBS","Big East","FBS"
2007,"2007-12-22",15,"Nevada at New Mexico","Nevada",0,"New Mexico",23,"WAC","FBS","MW","FBS"
2007,"2007-12-22",15,"UCLA at BYU","UCLA",16,"BYU",17,"Pac 10/12","FBS","MW","FBS"
2007,"2007-12-23",15,"Boise State at East Carolina","Boise State",38,"East Carolina",41,"WAC","FBS","C-USA","FBS"
2007,"2007-12-26",16,"Purdue at Central Michigan","Purdue",51,"Central Michigan",48,"Big Ten","FBS","MAC","FBS"
2007,"2007-12-27",16,"Arizona State at Texas","Arizona State",34,"Texas",52,"Pac 10/12","FBS","Big 12","FBS"
2007,"2007-12-28",16,"Boston College at Michigan State","Boston College",24,"Michigan State",21,"ACC","FBS","Big Ten","FBS"
2007,"2007-12-28",16,"Maryland at Oregon State","Maryland",14,"Oregon State",21,"ACC","FBS","Pac 10/12","FBS"
2007,"2007-12-28",16,"Houston at TCU","Houston",13,"TCU",20,"C-USA","FBS","MW","FBS"
2007,"2007-12-29",16,"UCF at Mississippi State","UCF",3,"Mississippi State",10,"C-USA","FBS","SEC","FBS"
2007,"2007-12-29",16,"Penn State at Texas A&M","Penn State",24,"Texas A&M",17,"Big Ten","FBS","Big 12","FBS"
2007,"2007-12-29",16,"Connecticut at Wake Forest","Connecticut",10,"Wake Forest",24,"Big East","FBS","ACC","FBS"
2007,"2007-12-30",16,"Alabama at Colorado","Alabama",30,"Colorado",24,"SEC","FBS","Big 12","FBS"
2007,"2007-12-31",17,"Kentucky at Florida State","Kentucky",35,"Florida State",28,"SEC","FBS","ACC","FBS"
2007,"2007-12-31",17,"Clemson at Auburn","Clemson",20,"Auburn",23,"ACC","FBS","SEC","FBS"
2007,"2007-12-31",17,"Indiana at Oklahoma State","Indiana",33,"Oklahoma State",49,"Big Ten","FBS","Big 12","FBS"
2007,"2007-12-31",17,"South Florida at Oregon","South Florida",21,"Oregon",56,"Big East","FBS","Pac 10/12","FBS"
2007,"2007-12-31",17,"California at Air Force","California",42,"Air Force",36,"Pac 10/12","FBS","MW","FBS"
2007,"2007-12-31",17,"Georgia Tech at Fresno State","Georgia Tech",28,"Fresno State",40,"ACC","FBS","WAC","FBS"
2007,"2008-01-01",18,"Michigan at Florida","Michigan",41,"Florida",35,"Big Ten","FBS","SEC","FBS"
2007,"2008-01-01",18,"Hawai'i at Georgia","Hawai'i",10,"Georgia",41,"WAC","FBS","SEC","FBS"
2007,"2008-01-01",18,"Missouri at Arkansas","Missouri",38,"Arkansas",7,"Big 12","FBS","SEC","FBS"
2007,"2008-01-01",18,"Illinois at USC","Illinois",17,"USC",49,"Big Ten","FBS","Pac 10/12","FBS"
2007,"2008-01-01",18,"Wisconsin at Tennessee","Wisconsin",17,"Tennessee",21,"Big Ten","FBS","SEC","FBS"
2007,"2008-01-01",18,"Texas Tech at Virginia","Texas Tech",31,"Virginia",28,"Big 12","FBS","ACC","FBS"
2007,"2008-01-02",18,"West Virginia at Oklahoma","West Virginia",48,"Oklahoma",28,"Big East","FBS","Big 12","FBS"
2007,"2008-01-03",18,"Kansas at Virginia Tech","Kansas",24,"Virginia Tech",21,"Big 12","FBS","ACC","FBS"
2007,"2008-01-05",18,"Rutgers at Ball State","Rutgers",52,"Ball State",30,"Big East","FBS","MAC","FBS"
2007,"2008-01-06",18,"Bowling Green at Tulsa","Bowling Green",7,"Tulsa",63,"MAC","FBS","C-USA","FBS"
2007,"2008-01-07",18,"LSU at Ohio State","LSU",38,"Ohio State",24,"SEC","FBS","Big Ten","FBS"
2008,"2008-08-28",1,"Eastern Illinois at Central Michigan","Eastern Illinois",12,"Central Michigan",31,"FCS","FCS","MAC","FBS"
2008,"2008-08-28",1,"Eastern Kentucky at Cincinnati","Eastern Kentucky",7,"Cincinnati",40,"FCS","FCS","Big East","FBS"
2008,"2008-08-28",1,"Hofstra at Connecticut","Hofstra",3,"Connecticut",35,"FCS","FCS","Big East","FBS"
2008,"2008-08-28",1,"Indiana State at Eastern Michigan","Indiana State",0,"Eastern Michigan",52,"FCS","FCS","MAC","FBS"
2008,"2008-08-28",1,"Jacksonville State at Georgia Tech","Jacksonville State",14,"Georgia Tech",41,"FCS","FCS","ACC","FBS"
2008,"2008-08-28",1,"South Dakota State at Iowa State","South Dakota State",17,"Iowa State",44,"FCS","FCS","Big 12","FBS"
2008,"2008-08-28",1,"Vanderbilt at Miami (Ohio)","Vanderbilt",34,"Miami (Ohio)",13,"SEC","FBS","MAC","FBS"
2008,"2008-08-28",1,"Charleston So. at Miami (Florida)","Charleston So.",7,"Miami (Florida)",52,"FCS","FCS","ACC","FBS"
2008,"2008-08-28",1,"Troy at Middle Tennessee","Troy",31,"Middle Tennessee",17,"Sun Belt","FBS","Sun Belt","FBS"
2008,"2008-08-28",1,"Northeastern at Ball State","Northeastern",14,"Ball State",48,"FCS","FCS","MAC","FBS"
2008,"2008-08-28",1,"Wake Forest at Baylor","Wake Forest",41,"Baylor",13,"ACC","FBS","Big 12","FBS"
2008,"2008-08-28",1,"North Carolina State at South Carolina","North Carolina State",0,"South Carolina",34,"ACC","FBS","SEC","FBS"
2008,"2008-08-28",1,"Oregon State at Stanford","Oregon State",28,"Stanford",36,"Pac 10/12","FBS","Pac 10/12","FBS"
2008,"2008-08-28",1,"UTEP at Buffalo","UTEP",17,"Buffalo",42,"C-USA","FBS","MAC","FBS"
2008,"2008-08-29",1,"SMU at Rice","SMU",27,"Rice",56,"C-USA","FBS","C-USA","FBS"
2008,"2008-08-29",1,"Temple at Army","Temple",35,"Army",7,"MAC","FBS","IND","FBS"
2008,"2008-08-30",1,"Michigan State at California","Michigan State",31,"California",38,"Big Ten","FBS","Pac 10/12","FBS"
2008,"2008-08-30",1,"South Carolina State at UCF","South Carolina State",0,"UCF",17,"FCS","FCS","C-USA","FBS"
2008,"2008-08-30",1,"Alabama at Clemson","Alabama",34,"Clemson",10,"SEC","FBS","ACC","FBS"
2008,"2008-08-30",1,"James Madison at Duke","James Madison",7,"Duke",31,"FCS","FCS","ACC","FBS"
2008,"2008-08-30",1,"Virginia Tech at East Carolina","Virginia Tech",22,"East Carolina",27,"ACC","FBS","C-USA","FBS"
2008,"2008-08-30",1,"Hawai'i at Florida","Hawai'i",10,"Florida",56,"WAC","FBS","SEC","FBS"
2008,"2008-08-30",1,"Georgia Southern at Georgia","Georgia Southern",21,"Georgia",45,"FCS","FCS","SEC","FBS"
2008,"2008-08-30",1,"Northern Arizona at Arizona State","Northern Arizona",13,"Arizona State",30,"FCS","FCS","Pac 10/12","FBS"
2008,"2008-08-30",1,"Southern University at Houston","Southern University",3,"Houston",55,"FCS","FCS","C-USA","FBS"
2008,"2008-08-30",1,"Idaho at Arizona","Idaho",0,"Arizona",70,"WAC","FBS","Pac 10/12","FBS"
2008,"2008-08-30",1,"Western Kentucky at Indiana","Western Kentucky",13,"Indiana",31,"IND","FBS","Big Ten","FBS"
2008,"2008-08-30",1,"Western Illinois at Arkansas","Western Illinois",24,"Arkansas",28,"FCS","FCS","SEC","FBS"
2008,"2008-08-30",1,"Maine at Iowa","Maine",3,"Iowa",46,"FCS","FCS","Big Ten","FBS"
2008,"2008-08-30",1,"North Texas at Kansas State","North Texas",6,"Kansas State",45,"Sun Belt","FBS","Big 12","FBS"
2008,"2008-08-30",1,"Florida International at Kansas","Florida International",10,"Kansas",40,"Sun Belt","FBS","Big 12","FBS"
2008,"2008-08-30",1,"Boston College at Kent State","Boston College",21,"Kent State",0,"ACC","FBS","MAC","FBS"
2008,"2008-08-30",1,"Appalachian State at LSU","Appalachian State",13,"LSU",41,"FCS","FCS","SEC","FBS"
2008,"2008-08-30",1,"Mississippi State at Louisiana Tech","Mississippi State",14,"Louisiana Tech",22,"SEC","FBS","WAC","FBS"
2008,"2008-08-30",1,"Louisiana-Monroe at Auburn","Louisiana-Monroe",0,"Auburn",34,"Sun Belt","FBS","SEC","FBS"
2008,"2008-08-30",1,"Illinois State at Marshall","Illinois State",10,"Marshall",35,"FCS","FCS","C-USA","FBS"
2008,"2008-08-30",1,"Delaware at Maryland","Delaware",7,"Maryland",14,"FCS","FCS","ACC","FBS"
2008,"2008-08-30",1,"Utah at Michigan","Utah",25,"Michigan",23,"MW","FBS","Big Ten","FBS"
2008,"2008-08-30",1,"Northern Illinois at Minnesota","Northern Illinois",27,"Minnesota",31,"MAC","FBS","Big Ten","FBS"
2008,"2008-08-30",1,"Memphis at Mississippi","Memphis",24,"Mississippi",41,"C-USA","FBS","SEC","FBS"
2008,"2008-08-30",1,"Illinois at Missouri","Illinois",42,"Missouri",52,"Big Ten","FBS","Big 12","FBS"
2008,"2008-08-30",1,"McNeese State at North Carolina","McNeese State",27,"North Carolina",35,"FCS","FCS","ACC","FBS"
2008,"2008-08-30",1,"Western Michigan at Nebraska","Western Michigan",24,"Nebraska",47,"MAC","FBS","Big 12","FBS"
2008,"2008-08-30",1,"Utah State at UNLV","Utah State",17,"UNLV",27,"WAC","FBS","MW","FBS"
2008,"2008-08-30",1,"Grambling at Nevada","Grambling",13,"Nevada",49,"FCS","FCS","WAC","FBS"
2008,"2008-08-30",1,"TCU at New Mexico","TCU",26,"New Mexico",3,"MW","FBS","MW","FBS"
2008,"2008-08-30",1,"Syracuse at Northwestern","Syracuse",10,"Northwestern",30,"Big East","FBS","Big Ten","FBS"
2008,"2008-08-30",1,"Youngstown State at Ohio State","Youngstown State",0,"Ohio State",43,"FCS","FCS","Big Ten","FBS"
2008,"2008-08-30",1,"Chattanooga at Oklahoma","Chattanooga",2,"Oklahoma",57,"FCS","FCS","Big 12","FBS"
2008,"2008-08-30",1,"Washington at Oregon","Washington",10,"Oregon",44,"Pac 10/12","FBS","Pac 10/12","FBS"
2008,"2008-08-30",1,"Coastal Carolina at Penn State","Coastal Carolina",10,"Penn State",66,"FCS","FCS","Big Ten","FBS"
2008,"2008-08-30",1,"Bowling Green at Pittsburgh","Bowling Green",27,"Pittsburgh",17,"MAC","FBS","Big East","FBS"
2008,"2008-08-30",1,"Cal Poly at San Diego State","Cal Poly",29,"San Diego State",27,"FCS","FCS","MW","FBS"
2008,"2008-08-30",1,"UC Davis at San Jose State","UC Davis",10,"San Jose State",13,"FCS","FCS","WAC","FBS"
2008,"2008-08-30",1,"Tennessee-Martin at South Florida","Tennessee-Martin",7,"South Florida",56,"FCS","FCS","Big East","FBS"
2008,"2008-08-30",1,"Idaho State at Boise State","Idaho State",7,"Boise State",49,"FCS","FCS","WAC","FBS"
2008,"2008-08-30",1,"Louisiana-Lafayette at Southern Mississippi","Louisiana-Lafayette",21,"Southern Mississippi",51,"Sun Belt","FBS","C-USA","FBS"
2008,"2008-08-30",1,"Arkansas State at Texas A&M","Arkansas State",18,"Texas A&M",14,"Sun Belt","FBS","Big 12","FBS"
2008,"2008-08-30",1,"Eastern Washington at Texas Tech","Eastern Washington",24,"Texas Tech",49,"FCS","FCS","Big 12","FBS"
2008,"2008-08-30",1,"Florida Atlantic at Texas","Florida Atlantic",10,"Texas",52,"Sun Belt","FBS","Big 12","FBS"
2008,"2008-08-30",1,"Southern Utah at Air Force","Southern Utah",7,"Air Force",41,"FCS","FCS","MW","FBS"
2008,"2008-08-30",1,"Towson at Navy","Towson",13,"Navy",41,"FCS","FCS","IND","FBS"
2008,"2008-08-30",1,"USC at Virginia","USC",52,"Virginia",7,"Pac 10/12","FBS","ACC","FBS"
2008,"2008-08-30",1,"Oklahoma State at Washington State","Oklahoma State",39,"Washington State",13,"Big 12","FBS","Pac 10/12","FBS"
2008,"2008-08-30",1,"Villanova at West Virginia","Villanova",21,"West Virginia",48,"FCS","FCS","Big East","FBS"
2008,"2008-08-30",1,"Northern Iowa at BYU","Northern Iowa",17,"BYU",41,"FCS","FCS","MW","FBS"
2008,"2008-08-30",1,"Akron at Wisconsin","Akron",17,"Wisconsin",38,"MAC","FBS","Big Ten","FBS"
2008,"2008-08-30",1,"Ohio at Wyoming","Ohio",20,"Wyoming",21,"MAC","FBS","MW","FBS"
2008,"2008-08-30",1,"Tulsa at UAB","Tulsa",45,"UAB",22,"C-USA","FBS","C-USA","FBS"
2008,"2008-08-31",1,"Colorado State at Colorado","Colorado State",17,"Colorado",38,"MW","FBS","Big 12","FBS"
2008,"2008-08-31",1,"Kentucky at Louisville","Kentucky",27,"Louisville",2,"SEC","FBS","Big East","FBS"
2008,"2008-09-01",1,"Tennessee at UCLA","Tennessee",24,"UCLA",27,"SEC","FBS","Pac 10/12","FBS"
2008,"2008-09-01",1,"Fresno State at Rutgers","Fresno State",24,"Rutgers",7,"WAC","FBS","Big East","FBS"
2008,"2008-09-04",2,"South Carolina at Vanderbilt","South Carolina",17,"Vanderbilt",24,"SEC","FBS","SEC","FBS"
2008,"2008-09-05",2,"Navy at Ball State","Navy",23,"Ball State",35,"IND","FBS","MAC","FBS"
2008,"2008-09-06",2,"South Florida at UCF","South Florida",31,"UCF",24,"Big East","FBS","C-USA","FBS"
2008,"2008-09-06",2,"Citadel at Clemson","Citadel",17,"Clemson",45,"FCS","FCS","ACC","FBS"
2008,"2008-09-06",2,"Sacramento State at Colorado State","Sacramento State",20,"Colorado State",23,"FCS","FCS","MW","FBS"
2008,"2008-09-06",2,"Eastern Washington at Colorado","Eastern Washington",24,"Colorado",31,"FCS","FCS","Big 12","FBS"
2008,"2008-09-06",2,"Northwestern at Duke","Northwestern",24,"Duke",20,"Big Ten","FBS","ACC","FBS"
2008,"2008-09-06",2,"West Virginia at East Carolina","West Virginia",3,"East Carolina",24,"Big East","FBS","C-USA","FBS"
2008,"2008-09-06",2,"Western Kentucky at Eastern Kentucky","Western Kentucky",37,"Eastern Kentucky",13,"IND","FBS","FCS","FCS"
2008,"2008-09-06",2,"UAB at Florida Atlantic","UAB",34,"Florida Atlantic",49,"C-USA","FBS","Sun Belt","FBS"
2008,"2008-09-06",2,"Western Carolina at Florida State","Western Carolina",0,"Florida State",69,"FCS","FCS","ACC","FBS"
2008,"2008-09-06",2,"Miami (Florida) at Florida","Miami (Florida)",3,"Florida",26,"ACC","FBS","SEC","FBS"
2008,"2008-09-06",2,"Central Michigan at Georgia","Central Michigan",17,"Georgia",56,"MAC","FBS","SEC","FBS"
2008,"2008-09-06",2,"Weber State at Hawai'i","Weber State",17,"Hawai'i",36,"FCS","FCS","WAC","FBS"
2008,"2008-09-06",2,"Stanford at Arizona State","Stanford",17,"Arizona State",41,"Pac 10/12","FBS","Pac 10/12","FBS"
2008,"2008-09-06",2,"Toledo at Arizona","Toledo",16,"Arizona",41,"MAC","FBS","Pac 10/12","FBS"
2008,"2008-09-06",2,"Idaho State at Idaho","Idaho State",27,"Idaho",42,"FCS","FCS","WAC","FBS"
2008,"2008-09-06",2,"Texas Southern at Arkansas State","Texas Southern",10,"Arkansas State",83,"FCS","FCS","Sun Belt","FBS"
2008,"2008-09-06",2,"Eastern Illinois at Illinois","Eastern Illinois",21,"Illinois",47,"FCS","FCS","Big Ten","FBS"
2008,"2008-09-06",2,"Murray State at Indiana","Murray State",3,"Indiana",45,"FCS","FCS","Big Ten","FBS"
2008,"2008-09-06",2,"Kent State at Iowa State","Kent State",28,"Iowa State",48,"MAC","FBS","Big 12","FBS"
2008,"2008-09-06",2,"Florida International at Iowa","Florida International",0,"Iowa",42,"Sun Belt","FBS","Big Ten","FBS"
2008,"2008-09-06",2,"Montana State at Kansas State","Montana State",10,"Kansas State",69,"FCS","FCS","Big 12","FBS"
2008,"2008-09-06",2,"Louisiana Tech at Kansas","Louisiana Tech",0,"Kansas",29,"WAC","FBS","Big 12","FBS"
2008,"2008-09-06",2,"Norfolk State at Kentucky","Norfolk State",3,"Kentucky",38,"FCS","FCS","SEC","FBS"
2008,"2008-09-06",2,"Tennessee Tech at Louisville","Tennessee Tech",10,"Louisville",51,"FCS","FCS","Big East","FBS"
2008,"2008-09-06",2,"Southern Mississippi at Auburn","Southern Mississippi",13,"Auburn",27,"C-USA","FBS","SEC","FBS"
2008,"2008-09-06",2,"Rice at Memphis","Rice",42,"Memphis",35,"C-USA","FBS","C-USA","FBS"
2008,"2008-09-06",2,"Eastern Michigan at Michigan State","Eastern Michigan",10,"Michigan State",42,"MAC","FBS","Big Ten","FBS"
2008,"2008-09-06",2,"Miami (Ohio) at Michigan","Miami (Ohio)",6,"Michigan",16,"MAC","FBS","Big Ten","FBS"
2008,"2008-09-06",2,"Maryland at Middle Tennessee","Maryland",14,"Middle Tennessee",24,"ACC","FBS","Sun Belt","FBS"
2008,"2008-09-06",2,"Southeastern Louisiana at Mississippi State","Southeastern Louisiana",10,"Mississippi State",34,"FCS","FCS","SEC","FBS"
2008,"2008-09-06",2,"Southeast Missouri State at Missouri","Southeast Missouri State",3,"Missouri",52,"FCS","FCS","Big 12","FBS"
2008,"2008-09-06",2,"San Jose State at Nebraska","San Jose State",12,"Nebraska",35,"WAC","FBS","Big 12","FBS"
2008,"2008-09-06",2,"Texas Tech at Nevada","Texas Tech",35,"Nevada",19,"Big 12","FBS","WAC","FBS"
2008,"2008-09-06",2,"Texas A&M at New Mexico","Texas A&M",28,"New Mexico",22,"Big 12","FBS","MW","FBS"
2008,"2008-09-06",2,"William & Mary at North Carolina State","William & Mary",24,"North Carolina State",34,"FCS","FCS","ACC","FBS"
2008,"2008-09-06",2,"Tulsa at North Texas","Tulsa",56,"North Texas",26,"C-USA","FBS","Sun Belt","FBS"
2008,"2008-09-06",2,"Arkansas at Louisiana-Monroe","Arkansas",28,"Louisiana-Monroe",27,"SEC","FBS","Sun Belt","FBS"
2008,"2008-09-06",2,"Northwestern State at Baylor","Northwestern State",6,"Baylor",51,"FCS","FCS","Big 12","FBS"
2008,"2008-09-06",2,"San Diego State at Notre Dame","San Diego State",13,"Notre Dame",21,"MW","FBS","IND","FBS"
2008,"2008-09-06",2,"Ohio at Ohio State","Ohio",14,"Ohio State",26,"MAC","FBS","Big Ten","FBS"
2008,"2008-09-06",2,"Houston at Oklahoma State","Houston",37,"Oklahoma State",56,"C-USA","FBS","Big 12","FBS"
2008,"2008-09-06",2,"Cincinnati at Oklahoma","Cincinnati",26,"Oklahoma",52,"Big East","FBS","Big 12","FBS"
2008,"2008-09-06",2,"Utah State at Oregon","Utah State",24,"Oregon",66,"WAC","FBS","Pac 10/12","FBS"
2008,"2008-09-06",2,"Oregon State at Penn State","Oregon State",14,"Penn State",45,"Pac 10/12","FBS","Big Ten","FBS"
2008,"2008-09-06",2,"Buffalo at Pittsburgh","Buffalo",16,"Pittsburgh",27,"MAC","FBS","Big East","FBS"
2008,"2008-09-06",2,"Northern Colorado at Purdue","Northern Colorado",10,"Purdue",42,"FCS","FCS","Big Ten","FBS"
2008,"2008-09-06",2,"Texas State at SMU","Texas State",36,"SMU",47,"FCS","FCS","C-USA","FBS"
2008,"2008-09-06",2,"Georgia Tech at Boston College","Georgia Tech",19,"Boston College",16,"ACC","FBS","ACC","FBS"
2008,"2008-09-06",2,"Akron at Syracuse","Akron",42,"Syracuse",28,"MAC","FBS","Big East","FBS"
2008,"2008-09-06",2,"Connecticut at Temple","Connecticut",12,"Temple",9,"Big East","FBS","MAC","FBS"
2008,"2008-09-06",2,"Stephen F. Austin at TCU","Stephen F. Austin",7,"TCU",67,"FCS","FCS","MW","FBS"
2008,"2008-09-06",2,"Texas at UTEP","Texas",42,"UTEP",13,"Big 12","FBS","C-USA","FBS"
2008,"2008-09-06",2,"Minnesota at Bowling Green","Minnesota",42,"Bowling Green",17,"Big Ten","FBS","MAC","FBS"
2008,"2008-09-06",2,"New Hampshire at Army","New Hampshire",28,"Army",10,"FCS","FCS","IND","FBS"
2008,"2008-09-06",2,"UNLV at Utah","UNLV",21,"Utah",42,"MW","FBS","MW","FBS"
2008,"2008-09-06",2,"Furman at Virginia Tech","Furman",7,"Virginia Tech",24,"FCS","FCS","ACC","FBS"
2008,"2008-09-06",2,"Richmond at Virginia","Richmond",0,"Virginia",16,"FCS","FCS","ACC","FBS"
2008,"2008-09-06",2,"Mississippi at Wake Forest","Mississippi",28,"Wake Forest",30,"SEC","FBS","ACC","FBS"
2008,"2008-09-06",2,"California at Washington State","California",66,"Washington State",3,"Pac 10/12","FBS","Pac 10/12","FBS"
2008,"2008-09-06",2,"BYU at Washington","BYU",28,"Washington",27,"MW","FBS","Pac 10/12","FBS"
2008,"2008-09-06",2,"Northern Illinois at Western Michigan","Northern Illinois",26,"Western Michigan",29,"MAC","FBS","MAC","FBS"
2008,"2008-09-06",2,"Marshall at Wisconsin","Marshall",14,"Wisconsin",51,"C-USA","FBS","Big Ten","FBS"
2008,"2008-09-06",2,"Tulane at Alabama","Tulane",6,"Alabama",20,"C-USA","FBS","SEC","FBS"
2008,"2008-09-06",2,"Air Force at Wyoming","Air Force",23,"Wyoming",3,"MW","FBS","MW","FBS"
2008,"2008-09-11",3,"North Carolina at Rutgers","North Carolina",44,"Rutgers",12,"ACC","FBS","Big East","FBS"
2008,"2008-09-12",3,"Alabama A&M at Louisiana-Monroe","Alabama A&M",15,"Louisiana-Monroe",37,"FCS","FCS","Sun Belt","FBS"
2008,"2008-09-12",3,"Washington State at Baylor","Washington State",17,"Baylor",45,"Pac 10/12","FBS","Big 12","FBS"
2008,"2008-09-12",3,"Kansas at South Florida","Kansas",34,"South Florida",37,"Big 12","FBS","Big East","FBS"
2008,"2008-09-13",3,"North Carolina State at Clemson","North Carolina State",9,"Clemson",27,"ACC","FBS","ACC","FBS"
2008,"2008-09-13",3,"Virginia at Connecticut","Virginia",10,"Connecticut",45,"ACC","FBS","Big East","FBS"
2008,"2008-09-13",3,"Navy at Duke","Navy",31,"Duke",41,"IND","FBS","ACC","FBS"
